Year,Population Growth Rate,Growth Rate
1950,2499322157 ,0
1951,2543130380 ,1.75
1952,2590270899 ,1.85
1953,2640278797 ,1.93
1954,2691979339 ,1.96
1955,2746072141 ,2.01
1956,2801002631 ,2
1957,2857866857 ,2.03
1958,2916108097 ,2.04
1959,2970292188 ,1.86
1960,3019233434 ,1.65
1961,3068370609 ,1.63
1962,3126686743 ,1.9
1963,3195779247 ,2.21
1964,3267212338 ,2.24
1965,3337111983 ,2.14
1966,3406417036 ,2.08
1967,3475448166 ,2.03
1968,3546810808 ,2.05
1969,3620655275 ,2.08
1970,3695390336 ,2.06
1971,3770163092 ,2.02
1972,3844800885 ,1.98
1973,3920251504 ,1.96
1974,3995517077 ,1.92
1975,4069437231 ,1.85
1976,4142505882 ,1.8
1977,4215772490 ,1.77
1978,4289657708 ,1.75
1979,4365582871 ,1.77
1980,4444007706 ,1.8
1981,4524627658 ,1.81
1982,4607984871 ,1.84
1983,4691884238 ,1.82
1984,4775836074 ,1.79
1985,4861730613 ,1.8
1986,4950063339 ,1.82
1987,5040984495 ,1.84
1988,5132293974 ,1.81
1989,5223704308 ,1.78
1990,5316175862 ,1.77
1991,5406245867 ,1.69
1992,5492686093 ,1.6
1993,5577433523 ,1.54
1994,5660727993 ,1.49
1995,5743219454 ,1.46
1996,5825145298 ,1.43
1997,5906481261 ,1.4
1998,5987312480 ,1.37
1999,6067758458 ,1.34
2000,6148898975 ,1.34
2001,6230746982 ,1.33
2002,6312407360 ,1.31
2003,6393898365 ,1.29
2004,6475751478 ,1.28
2005,6558176119 ,1.27
2006,6641416218 ,1.27
2007,6725948544 ,1.27
2008,6811597272 ,1.27
2009,6898305908 ,1.27
2010,6985603105 ,1.27
2011,7073125425 ,1.25
2012,7161697921 ,1.25
2013,7250593370 ,1.24
2014,7339013419 ,1.22
2015,7426597537 ,1.19
2016,7513474238 ,1.17
2017,7599822404 ,1.15
2018,7683789828 ,1.1
2019,7764951032 ,1.06
2020,7840952880 ,0.98
2021,7909295151 ,0.87
2022,7975105156 ,0.83
2023,8045311447 ,0.88
